-2.323530,-4.255756,2.920232
-2.362527,-4.247007,2.922156
-2.401546,-4.238356,2.923954
-2.440574,-4.229748,2.925539
-2.479620,-4.221221,2.926977
-2.518673,-4.212724,2.928150
-2.557739,-4.204289,2.929141
-2.596808,-4.195870,2.929780
-2.635885,-4.187484,2.930214
-2.674962,-4.179099,2.930233
-2.714039,-4.170715,2.930022
-2.753112,-4.162314,2.929320
-2.792177,-4.153875,2.928363
-2.831234,-4.145399,2.926837
-2.870273,-4.136841,2.925033
-2.909299,-4.128224,2.922579
-2.948296,-4.119474,2.919832
-2.987274,-4.110643,2.916370
-3.026209,-4.101623,2.912595
-3.065120,-4.092498,2.908024
-3.103971,-4.083123,2.903126
-3.142790,-4.073617,2.897355
-3.181530,-4.063794,2.891246
-3.220229,-4.053815,2.884190
-3.258827,-4.043446,2.876794
-3.297374,-4.032896,2.868403
-3.335793,-4.021881,2.859658
-3.374149,-4.010658,2.849828
-3.412344,-3.998890,2.839651
-3.450464,-3.986889,2.828354
-3.488382,-3.974261,2.816712
-3.526212,-3.961376,2.803896
-3.563795,-3.947780,2.790739
-3.601271,-3.933904,2.776355
-3.638447,-3.919233,2.761645
-3.675499,-3.904261,2.745688
-3.712188,-3.888411,2.729419
-3.748733,-3.872242,2.711882
-3.784843,-3.855116,2.694048
-3.820787,-3.837654,2.674926
-3.856217,-3.819159,2.655534
-3.891455,-3.800317,2.634873
-3.926091,-3.780375,2.613961
-3.960510,-3.760076,2.591777
-3.994227,-3.738618,2.569374
-4.027702,-3.716798,2.545736
-4.060367,-3.693770,2.521911
-4.092764,-3.670380,2.496896
-4.124237,-3.645748,2.471724
-4.155415,-3.620759,2.445413
-4.185549,-3.594505,2.418976
-4.215362,-3.567903,2.391452
-4.244006,-3.540031,2.363843
-4.272304,-3.511825,2.335248
-4.299309,-3.482362,2.306601
-4.325945,-3.452581,2.277041
-4.351162,-3.421574,2.247461
-4.375990,-3.390271,2.217054
-4.399276,-3.357789,2.186664
-4.422157,-3.325035,2.155557
-4.443378,-3.291169,2.124499
-4.464181,-3.257058,2.092823
-4.483216,-3.221916,2.061225
-4.501823,-3.186559,2.029112
-4.518564,-3.150268,1.997101
-4.534870,-3.113793,1.964665
-4.549224,-3.076493,1.932359
-4.563140,-3.039042,1.899729
-4.575031,-3.000885,1.867248
-4.586487,-2.962609,1.834530
-4.595858,-2.923757,1.801976
-4.604799,-2.884815,1.769248
-4.611608,-2.845434,1.736701
-4.617997,-2.805993,1.704059
-4.622223,-2.766251,1.671603
-4.626040,-2.726479,1.639093
-4.627675,-2.686546,1.606777
-4.628915,-2.646610,1.574453
-4.627967,-2.606655,1.542326
-4.626640,-2.566721,1.510211
-4.623130,-2.526909,1.478292
-4.619257,-2.487141,1.446398
-4.613217,-2.447634,1.414700
-4.606832,-2.408190,1.383038
-4.598305,-2.369145,1.351566
-4.589451,-2.330181,1.320112
-4.578486,-2.291748,1.288843
-4.567214,-2.253413,1.257578
-4.553869,-2.215741,1.226495
-4.540236,-2.178181,1.195396
-4.524576,-2.141410,1.164473
-4.508648,-2.104764,1.133502
-4.490741,-2.069034,1.102703
-4.472587,-2.033437,1.071842
-4.452511,-1.998879,1.041150
-4.432207,-1.964463,1.010363
-4.410042,-1.931206,0.979743
-4.387669,-1.898097,0.949019
-4.363505,-1.866264,0.918460
-4.339151,-1.834583,0.887786
-4.313080,-1.804291,0.857276
-4.286840,-1.774154,0.826646
-4.258964,-1.745515,0.796182
-4.230936,-1.717032,0.765613
-4.201362,-1.690149,0.735213
-4.171656,-1.663421,0.704756
-4.140500,-1.638389,0.674468
-4.109230,-1.613508,0.644137
-4.076614,-1.590410,0.613983
-4.043900,-1.567460,0.583874
-4.009954,-1.546367,0.553944
-3.975925,-1.525414,0.524118
-3.940781,-1.506382,0.494474
-3.905571,-1.487483,0.465039
-3.869368,-1.470551,0.435789
-3.833112,-1.453743,0.406847
-3.795991,-1.438934,0.378091
-3.758828,-1.424237,0.349787
-3.720929,-1.411552,0.321669
-3.682998,-1.398968,0.294107
-3.644457,-1.388390,0.266729
-3.605895,-1.377900,0.240077
-3.566845,-1.369390,0.213605
-3.527781,-1.360956,0.187972
-3.488346,-1.354458,0.162514
-3.448903,-1.348023,0.138069
-3.409198,-1.343461,0.113789
-3.369488,-1.338947,0.090681
-3.329615,-1.336224,0.067728
-3.289740,-1.333538,0.046054
-3.249786,-1.332545,0.024522
-3.209832,-1.331578,0.004400
-3.169870,-1.332193,-0.015595
-3.129909,-1.332824,-0.034073
-3.089998,-1.334916,-0.052443
-3.050087,-1.337014,-0.069203
-3.010268,-1.340442,-0.085874
